Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,movie_name
1928,110,80.0,8.1,59.0,350.0,180.0,25.0,512.0,47676,21877,La passion de Jeanne d'Arc
1927,94,155.0,8.1,112.0,201.0,282.0,438.0,82.0,46865,539540,Sunrise: A Song of Two Humans
1926,67,1.0,8.1,74.0,83.0,79.0,444.0,249.0,81156,1033895,The General
2015,163,1.0,8.0,234.0,462.0,235.0,503.0,399.0,72245,8178001,Bajrangi Bhaijaan
2016,128,94.0,8.0,78.0,458.0,169.0,601.0,292.0,505918,151101803,La La Land
2016,118,78.0,8.0,132.0,142.0,492.0,600.0,703.0,213970,51739495,Lion
2015,144,47.0,8.0,355.0,365.0,312.0,397.0,404.0,760094,228433663,The Martian
2016,108,61.0,8.0,57.0,433.0,284.0,229.0,317.0,434143,341268248,Zootopia
2015,159,23.0,8.0,378.0,421.0,537.0,561.0,668.0,102972,6738000,Bãhubali: The Beginning
2013,137,62.0,8.0,166.0,100.0,270.0,454.0,308.0,38746,1506975,Kaguyahime no monogatari
2017,113,125.0,8.0,402.0,241.0,506.0,270.0,386.0,141923,132422809,Wonder
2019,154,149.0,8.0,471.0,534.0,484.0,563.0,746.0,31886,5566534,Gully Boy
2013,144,119.0,8.0,304.0,8.0,44.0,436.0,346.0,51069,1079369,Special Chabbis
2013,96,124.0,8.0,98.0,72.0,198.0,333.0,397.0,81770,1010414,Short Term 12
2014,150,22.0,8.0,131.0,232.0,692.0,45.0,571.0,114316,2625803,Serbuan maut 2: Berandal
2014,114,84.0,8.0,301.0,51.0,369.0,460.0,24.0,685201,91125683,The Imitation Game
2014,121,1.0,8.0,176.0,105.0,669.0,78.0,779.0,1043455,333176600,Guardians of the Galaxy
2017,164,25.0,8.0,96.0,216.0,574.0,22.0,158.0,461823,92054159,Blade Runner 2049
2013,126,156.0,8.0,396.0,272.0,23.0,628.0,638.0,540772,25568251,Her
